Signal,Id,Type,DataType,Complex,Unit,Min,Max,Desc,Enum,Sensor,Actuator,instances
Vehicle.Cabin.Seat.HasPassenger,"","sensor","boolean","True","","","","Does the seat have a passenger in it.","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.HasPassenger.Row1,"","sensor","boolean","True","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row1.Pos1,"","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row1.Pos2,"","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row1.Pos3,"","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row1.Pos4,"","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row1.Pos5,"","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row2,"","sensor","boolean","True","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row2.Pos1,"","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row2.Pos2,"","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row2.Pos3,"","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row2.Pos4,"","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row2.Pos5,"","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row3,"","sensor","boolean","True","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row3.Pos1,"","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row3.Pos2,"","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row3.Pos3,"","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row3.Pos4,"","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row3.Pos5,"","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row4,"","sensor","boolean","True","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row4.Pos1,"","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row4.Pos2,"","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row4.Pos3,"","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row4.Pos4,"","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row4.Pos5,"","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.IsBelted,"","sensor","boolean","True","","","","Is the belt engaged.","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.IsBelted.Row1,"","sensor","boolean","True","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row1.Pos1,"","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row1.Pos2,"","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row1.Pos3,"","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row1.Pos4,"","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row1.Pos5,"","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row2,"","sensor","boolean","True","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row2.Pos1,"","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row2.Pos2,"","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row2.Pos3,"","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row2.Pos4,"","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row2.Pos5,"","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row3,"","sensor","boolean","True","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row3.Pos1,"","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row3.Pos2,"","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row3.Pos3,"","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row3.Pos4,"","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row3.Pos5,"","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row4,"","sensor","boolean","True","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row4.Pos1,"","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row4.Pos2,"","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row4.Pos3,"","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row4.Pos4,"","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row4.Pos5,"","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.Heating,"","sensor","int8","True","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.Heating.Row1,"","sensor","int8","True","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row1.Pos1,"","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row1.Pos2,"","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row1.Pos3,"","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row1.Pos4,"","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row1.Pos5,"","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row2,"","sensor","int8","True","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row2.Pos1,"","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row2.Pos2,"","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row2.Pos3,"","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row2.Pos4,"","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row2.Pos5,"","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row3,"","sensor","int8","True","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row3.Pos1,"","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row3.Pos2,"","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row3.Pos3,"","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row3.Pos4,"","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row3.Pos5,"","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row4,"","sensor","int8","True","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row4.Pos1,"","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row4.Pos2,"","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row4.Pos3,"","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row4.Pos4,"","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row4.Pos5,"","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Massage,"","sensor","uint8","True","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.Massage.Row1,"","sensor","uint8","True","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row1.Pos1,"","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row1.Pos2,"","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row1.Pos3,"","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row1.Pos4,"","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row1.Pos5,"","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row2,"","sensor","uint8","True","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row2.Pos1,"","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row2.Pos2,"","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row2.Pos3,"","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row2.Pos4,"","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row2.Pos5,"","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row3,"","sensor","uint8","True","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row3.Pos1,"","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row3.Pos2,"","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row3.Pos3,"","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row3.Pos4,"","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row3.Pos5,"","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row4,"","sensor","uint8","True","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row4.Pos1,"","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row4.Pos2,"","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row4.Pos3,"","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row4.Pos4,"","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row4.Pos5,"","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Recline,"","sensor","int8","True","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.Recline.Row1,"","sensor","int8","True","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row1.Pos1,"","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row1.Pos2,"","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row1.Pos3,"","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row1.Pos4,"","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row1.Pos5,"","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row2,"","sensor","int8","True","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row2.Pos1,"","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row2.Pos2,"","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row2.Pos3,"","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row2.Pos4,"","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row2.Pos5,"","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row3,"","sensor","int8","True","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row3.Pos1,"","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row3.Pos2,"","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row3.Pos3,"","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row3.Pos4,"","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row3.Pos5,"","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row4,"","sensor","int8","True","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row4.Pos1,"","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row4.Pos2,"","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row4.Pos3,"","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row4.Pos4,"","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row4.Pos5,"","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Position,"","sensor","uint16","True","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.Position.Row1,"","sensor","uint16","True","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row1.Pos1,"","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row1.Pos2,"","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row1.Pos3,"","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row1.Pos4,"","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row1.Pos5,"","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row2,"","sensor","uint16","True","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row2.Pos1,"","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row2.Pos2,"","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row2.Pos3,"","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row2.Pos4,"","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row2.Pos5,"","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row3,"","sensor","uint16","True","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row3.Pos1,"","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row3.Pos2,"","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row3.Pos3,"","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row3.Pos4,"","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row3.Pos5,"","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row4,"","sensor","uint16","True","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row4.Pos1,"","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row4.Pos2,"","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row4.Pos3,"","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row4.Pos4,"","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row4.Pos5,"","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Cushion,"","branch","","False","","","","Cushion signals.","","",""
Vehicle.Cabin.Seat.Cushion.Height,"","sensor","uint16","True","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.Cushion.Height.Row1,"","sensor","uint16","True","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
Vehicle.Cabin.Seat.Cushion.Height.Row1.Pos1,"","sensor","uint16","False","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
Vehicle.Cabin.Seat.Cushion.Height.Row1.Pos2,"","sensor","uint16","False","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
Vehicle.Cabin.Seat.Cushion.Height.Row1.Pos3,"","sensor","uint16","False","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
Vehicle.Cabin.Seat.Cushion.Height.Row1.Pos4,"","sensor","uint16","False","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
Vehicle.Cabin.Seat.Cushion.Height.Row1.Pos5,"","sensor","uint16","False","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
Vehicle.Cabin.Seat.Cushion.Height.Row2,"","sensor","uint16","True","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
Vehicle.Cabin.Seat.Cushion.Height.Row2.Pos1,"","sensor","uint16","False","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
Vehicle.Cabin.Seat.Cushion.Height.Row2.Pos2,"","sensor","uint16","False","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
Vehicle.Cabin.Seat.Cushion.Height.Row2.Pos3,"","sensor","uint16","False","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
Vehicle.Cabin.Seat.Cushion.Height.Row2.Pos4,"","sensor","uint16","False","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
Vehicle.Cabin.Seat.Cushion.Height.Row2.Pos5,"","sensor","uint16","False","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
Vehicle.Cabin.Seat.Cushion.Height.Row3,"","sensor","uint16","True","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
Vehicle.Cabin.Seat.Cushion.Height.Row3.Pos1,"","sensor","uint16","False","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
Vehicle.Cabin.Seat.Cushion.Height.Row3.Pos2,"","sensor","uint16","False","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
Vehicle.Cabin.Seat.Cushion.Height.Row3.Pos3,"","sensor","uint16","False","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
Vehicle.Cabin.Seat.Cushion.Height.Row3.Pos4,"","sensor","uint16","False","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
Vehicle.Cabin.Seat.Cushion.Height.Row3.Pos5,"","sensor","uint16","False","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
Vehicle.Cabin.Seat.Cushion.Height.Row4,"","sensor","uint16","True","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
Vehicle.Cabin.Seat.Cushion.Height.Row4.Pos1,"","sensor","uint16","False","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
Vehicle.Cabin.Seat.Cushion.Height.Row4.Pos2,"","sensor","uint16","False","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
Vehicle.Cabin.Seat.Cushion.Height.Row4.Pos3,"","sensor","uint16","False","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
Vehicle.Cabin.Seat.Cushion.Height.Row4.Pos4,"","sensor","uint16","False","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
Vehicle.Cabin.Seat.Cushion.Height.Row4.Pos5,"","sensor","uint16","False","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
Vehicle.Cabin.Seat.Cushion.Length,"","sensor","uint16","True","mm","0","500","Forward length of cushion (leg support). 0 = Rearmost. 500 = Forwardmost.","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.Cushion.Length.Row1,"","sensor","uint16","True","mm","0","500","Forward length of cushion (leg support). 0 = Rearmost. 500 = Forwardmost.","","","",
Vehicle.Cabin.Seat.Cushion.Length.Row1.Pos1,"","sensor","uint16","False","mm","0","500","Forward length of cushion (leg support). 0 = Rearmost. 500 = Forwardmost.","","","",
Vehicle.Cabin.Seat.Cushion.Length.Row1.Pos2,"","sensor","uint16","False","mm","0","500","Forward length of cushion (leg support). 0 = Rearmost. 500 = Forwardmost.","","","",
Vehicle.Cabin.Seat.Cushion.Length.Row1.Pos3,"","sensor","uint16","False","mm","0","500","Forward length of cushion (leg support). 0 = Rearmost. 500 = Forwardmost.","","","",
Vehicle.Cabin.Seat.Cushion.Length.Row1.Pos4,"","sensor","uint16","False","mm","0","500","Forward length of cushion (leg support). 0 = Rearmost. 500 = Forwardmost.","","","",
Vehicle.Cabin.Seat.Cushion.Length.Row1.Pos5,"","sensor","uint16","False","mm","0","500","Forward length of cushion (leg support). 0 = Rearmost. 500 = Forwardmost.","","","",
Vehicle.Cabin.Seat.Cushion.Length.Row2,"","sensor","uint16","True","mm","0","500","Forward length of cushion (leg support). 0 = Rearmost. 500 = Forwardmost.","","","",
Vehicle.Cabin.Seat.Cushion.Length.Row2.Pos1,"","sensor","uint16","False","mm","0","500","Forward length of cushion (leg support). 0 = Rearmost. 500 = Forwardmost.","","","",
Vehicle.Cabin.Seat.Cushion.Length.Row2.Pos2,"","sensor","uint16","False","mm","0","500","Forward length of cushion (leg support). 0 = Rearmost. 500 = Forwardmost.","","","",
